CO2 (ppm),Timestamp,Hour,Day,Month
1537.7,2024-07-09 15:30:18,15,9,7
1505.4,2024-07-09 15:30:20,15,9,7
1489.3,2024-07-09 15:30:22,15,9,7
1492.6,2024-07-09 15:30:24,15,9,7
1494.5,2024-07-09 15:30:26,15,9,7
1501.7,2024-07-09 15:30:28,15,9,7
1498.5,2024-07-09 15:30:30,15,9,7
1484.2,2024-07-09 15:30:33,15,9,7
1481.4,2024-07-09 15:30:35,15,9,7
1483.0,2024-07-09 15:30:37,15,9,7
1478.7,2024-07-09 15:30:39,15,9,7
1411.2,2024-07-09 15:33:10,15,9,7
1410.7,2024-07-09 15:33:12,15,9,7
1413.4,2024-07-09 15:33:14,15,9,7
1416.9,2024-07-09 15:33:47,15,9,7
1418.7,2024-07-09 15:33:49,15,9,7
1417.3,2024-07-09 15:33:51,15,9,7
1419.5,2024-07-09 15:33:53,15,9,7
1422.1,2024-07-09 15:33:55,15,9,7
1488.2,2024-07-09 15:35:06,15,9,7
1488.9,2024-07-09 15:35:08,15,9,7
1491.2,2024-07-09 15:35:10,15,9,7
1491.0,2024-07-09 15:35:12,15,9,7
1487.3,2024-07-09 15:35:14,15,9,7
1487.4,2024-07-09 15:35:16,15,9,7
1481.9,2024-07-09 15:35:18,15,9,7
1478.5,2024-07-09 15:35:20,15,9,7
1474.8,2024-07-09 15:35:23,15,9,7
1472.9,2024-07-09 15:35:25,15,9,7
1476.2,2024-07-09 15:35:27,15,9,7
1479.4,2024-07-09 15:35:29,15,9,7
1482.2,2024-07-09 15:35:31,15,9,7
1479.7,2024-07-09 15:35:33,15,9,7
1453.0,2024-07-09 15:37:01,15,9,7
1454.0,2024-07-09 15:37:03,15,9,7
1458.5,2024-07-09 15:37:05,15,9,7
1455.4,2024-07-09 15:37:07,15,9,7
1456.3,2024-07-09 15:37:09,15,9,7
1458.0,2024-07-09 15:37:11,15,9,7
1459.3,2024-07-09 15:37:13,15,9,7
1461.1,2024-07-09 15:37:15,15,9,7
1463.5,2024-07-09 15:37:17,15,9,7
1459.7,2024-07-09 15:37:19,15,9,7
1457.6,2024-07-09 15:37:21,15,9,7
1456.8,2024-07-09 15:37:23,15,9,7
1453.6,2024-07-09 15:37:25,15,9,7
1452.7,2024-07-09 15:37:27,15,9,7
1456.1,2024-07-09 15:37:29,15,9,7
1459.7,2024-07-09 15:37:31,15,9,7
1457.6,2024-07-09 15:37:33,15,9,7
1458.8,2024-07-09 15:37:35,15,9,7
1454.9,2024-07-09 15:37:37,15,9,7
1454.1,2024-07-09 15:37:39,15,9,7
1450.3,2024-07-09 15:37:41,15,9,7
1446.5,2024-07-09 15:37:44,15,9,7
1438.9,2024-07-09 15:37:46,15,9,7
1435.8,2024-07-09 15:37:48,15,9,7
1427.3,2024-07-09 15:37:50,15,9,7
1424.0,2024-07-09 15:37:52,15,9,7
1422.0,2024-07-09 15:37:54,15,9,7
1421.3,2024-07-09 15:37:56,15,9,7
1420.7,2024-07-09 15:37:58,15,9,7
1415.8,2024-07-09 15:38:00,15,9,7
1413.9,2024-07-09 15:38:02,15,9,7
1412.4,2024-07-09 15:38:04,15,9,7
1407.1,2024-07-09 15:38:06,15,9,7
1404.5,2024-07-09 15:38:08,15,9,7
1402.3,2024-07-09 15:38:11,15,9,7
1404.4,2024-07-09 15:38:13,15,9,7
1403.5,2024-07-09 15:38:15,15,9,7
1403.2,2024-07-09 15:38:17,15,9,7
1406.0,2024-07-09 15:38:19,15,9,7
1409.2,2024-07-09 15:38:21,15,9,7
1409.4,2024-07-09 15:38:23,15,9,7
1409.9,2024-07-09 15:38:25,15,9,7
1411.3,2024-07-09 15:38:27,15,9,7
1411.1,2024-07-09 15:38:29,15,9,7
1411.2,2024-07-09 15:38:31,15,9,7
1411.0,2024-07-09 15:38:33,15,9,7
1413.2,2024-07-09 15:38:35,15,9,7
1416.1,2024-07-09 15:38:37,15,9,7
1418.2,2024-07-09 15:38:40,15,9,7
1418.5,2024-07-09 15:38:42,15,9,7
1417.7,2024-07-09 15:38:44,15,9,7
1416.6,2024-07-09 15:38:46,15,9,7
1419.6,2024-07-09 15:38:48,15,9,7
1422.4,2024-07-09 15:38:50,15,9,7
1425.3,2024-07-09 15:38:52,15,9,7
1428.1,2024-07-09 15:38:54,15,9,7
1432.1,2024-07-09 15:38:56,15,9,7
1426.1,2024-07-09 15:38:58,15,9,7
1428.7,2024-07-09 15:39:00,15,9,7
1424.5,2024-07-09 15:39:02,15,9,7
1426.8,2024-07-09 15:39:04,15,9,7
1430.3,2024-07-09 15:39:06,15,9,7
1426.0,2024-07-09 15:39:09,15,9,7
1420.5,2024-07-09 15:39:11,15,9,7
1421.6,2024-07-09 15:39:13,15,9,7
1422.2,2024-07-09 15:39:15,15,9,7
1417.8,2024-07-09 15:39:17,15,9,7
1418.1,2024-07-09 15:39:19,15,9,7
1420.6,2024-07-09 15:39:21,15,9,7
1420.9,2024-07-09 15:39:23,15,9,7
1418.9,2024-07-09 15:39:25,15,9,7
1415.5,2024-07-09 15:39:27,15,9,7
1417.1,2024-07-09 15:39:29,15,9,7
1417.4,2024-07-09 15:39:31,15,9,7
1419.4,2024-07-09 15:39:33,15,9,7
1420.9,2024-07-09 15:39:35,15,9,7
1421.2,2024-07-09 15:39:38,15,9,7
1420.0,2024-07-09 15:39:40,15,9,7
1420.9,2024-07-09 15:39:42,15,9,7
1419.9,2024-07-09 15:39:44,15,9,7
1421.5,2024-07-09 15:39:46,15,9,7
1423.3,2024-07-09 15:39:48,15,9,7
1425.6,2024-07-09 15:39:50,15,9,7
1427.9,2024-07-09 15:39:52,15,9,7
1427.3,2024-07-09 15:39:54,15,9,7
1424.9,2024-07-09 15:39:56,15,9,7
1424.4,2024-07-09 15:39:58,15,9,7
1425.5,2024-07-09 15:40:00,15,9,7
1426.1,2024-07-09 15:40:02,15,9,7
1425.0,2024-07-09 15:40:04,15,9,7
1424.1,2024-07-09 15:40:07,15,9,7
1427.0,2024-07-09 15:40:09,15,9,7
1428.5,2024-07-09 15:40:11,15,9,7
1429.9,2024-07-09 15:40:13,15,9,7
1429.5,2024-07-09 15:40:15,15,9,7
1428.7,2024-07-09 15:40:17,15,9,7
1427.7,2024-07-09 15:40:19,15,9,7
1426.9,2024-07-09 15:40:21,15,9,7
1426.1,2024-07-09 15:40:23,15,9,7
1424.0,2024-07-09 15:40:25,15,9,7
1422.0,2024-07-09 15:40:27,15,9,7
1420.7,2024-07-09 15:40:29,15,9,7
1421.0,2024-07-09 15:40:31,15,9,7
1421.2,2024-07-09 15:40:34,15,9,7
1422.6,2024-07-09 15:40:36,15,9,7
1422.7,2024-07-09 15:40:38,15,9,7
1422.7,2024-07-09 15:40:40,15,9,7
1422.6,2024-07-09 15:40:42,15,9,7
1422.2,2024-07-09 15:40:44,15,9,7
1421.9,2024-07-09 15:40:46,15,9,7
1423.3,2024-07-09 15:40:48,15,9,7
1423.7,2024-07-09 15:40:50,15,9,7
1423.4,2024-07-09 15:40:52,15,9,7
1422.4,2024-07-09 15:40:54,15,9,7
1420.9,2024-07-09 15:40:56,15,9,7
1421.1,2024-07-09 15:40:58,15,9,7
1420.6,2024-07-09 15:41:00,15,9,7
1422.2,2024-07-09 15:41:02,15,9,7
1421.1,2024-07-09 15:41:05,15,9,7
1420.8,2024-07-09 15:41:07,15,9,7
1421.5,2024-07-09 15:41:09,15,9,7
1421.9,2024-07-09 15:41:11,15,9,7
1421.4,2024-07-09 15:41:13,15,9,7
1422.3,2024-07-09 15:41:15,15,9,7
1422.7,2024-07-09 15:41:17,15,9,7
1422.0,2024-07-09 15:41:19,15,9,7
1420.8,2024-07-09 15:41:21,15,9,7
1420.1,2024-07-09 15:41:23,15,9,7
1420.1,2024-07-09 15:41:25,15,9,7
1418.8,2024-07-09 15:41:27,15,9,7
1418.8,2024-07-09 15:41:30,15,9,7
1419.1,2024-07-09 15:41:32,15,9,7
1419.1,2024-07-09 15:41:34,15,9,7
1418.8,2024-07-09 15:41:36,15,9,7
1418.5,2024-07-09 15:41:38,15,9,7
1418.9,2024-07-09 15:41:40,15,9,7
1418.4,2024-07-09 15:41:42,15,9,7
1418.6,2024-07-09 15:41:44,15,9,7
1419.7,2024-07-09 15:41:46,15,9,7
1418.1,2024-07-09 15:41:48,15,9,7
1418.1,2024-07-09 15:41:50,15,9,7
1416.6,2024-07-09 15:41:52,15,9,7
1417.4,2024-07-09 15:41:54,15,9,7
1418.3,2024-07-09 15:41:56,15,9,7
1418.7,2024-07-09 15:41:59,15,9,7
1418.4,2024-07-09 15:42:01,15,9,7
1418.8,2024-07-09 15:42:03,15,9,7
1416.6,2024-07-09 15:42:05,15,9,7
1416.4,2024-07-09 15:42:07,15,9,7
1415.3,2024-07-09 15:42:09,15,9,7
1413.3,2024-07-09 15:42:11,15,9,7
1413.9,2024-07-09 15:42:13,15,9,7
1413.5,2024-07-09 15:42:15,15,9,7
1414.6,2024-07-09 15:42:17,15,9,7
1414.4,2024-07-09 15:42:19,15,9,7
1414.1,2024-07-09 15:42:21,15,9,7
1413.8,2024-07-09 15:42:23,15,9,7
1413.5,2024-07-09 15:42:25,15,9,7
1413.7,2024-07-09 15:42:28,15,9,7
1414.7,2024-07-09 15:42:30,15,9,7
1415.3,2024-07-09 15:42:32,15,9,7
1415.1,2024-07-09 15:42:34,15,9,7
1414.7,2024-07-09 15:42:36,15,9,7
1415.1,2024-07-09 15:42:38,15,9,7
1414.8,2024-07-09 15:42:40,15,9,7
1412.7,2024-07-09 15:42:42,15,9,7
1411.9,2024-07-09 15:42:44,15,9,7
1412.5,2024-07-09 15:42:46,15,9,7
1412.9,2024-07-09 15:42:48,15,9,7
1413.1,2024-07-09 15:42:50,15,9,7
1414.0,2024-07-09 15:42:52,15,9,7
1414.5,2024-07-09 15:42:54,15,9,7
1414.3,2024-07-09 15:42:57,15,9,7
1414.3,2024-07-09 15:42:59,15,9,7
1413.2,2024-07-09 15:43:01,15,9,7
1411.7,2024-07-09 15:43:03,15,9,7
1410.4,2024-07-09 15:43:05,15,9,7
1411.8,2024-07-09 15:43:07,15,9,7
1414.9,2024-07-09 15:43:09,15,9,7
1423.5,2024-07-09 15:43:11,15,9,7
1427.7,2024-07-09 15:43:13,15,9,7
1429.2,2024-07-09 15:43:15,15,9,7
1431.3,2024-07-09 15:43:17,15,9,7
1431.5,2024-07-09 15:43:19,15,9,7
1430.3,2024-07-09 15:43:21,15,9,7
1426.7,2024-07-09 15:43:24,15,9,7
1424.3,2024-07-09 15:43:26,15,9,7
1426.8,2024-07-09 15:43:28,15,9,7
1425.7,2024-07-09 15:43:30,15,9,7
1428.4,2024-07-09 15:43:32,15,9,7
1428.0,2024-07-09 15:43:34,15,9,7
1428.8,2024-07-09 15:43:36,15,9,7
1425.6,2024-07-09 15:43:38,15,9,7
1424.0,2024-07-09 15:43:40,15,9,7
1421.4,2024-07-09 15:43:42,15,9,7
1422.2,2024-07-09 15:43:44,15,9,7
1424.6,2024-07-09 15:43:46,15,9,7
1425.8,2024-07-09 15:43:48,15,9,7
1425.3,2024-07-09 15:43:50,15,9,7
1423.6,2024-07-09 15:43:53,15,9,7
1425.2,2024-07-09 15:43:55,15,9,7
1426.3,2024-07-09 15:43:57,15,9,7
1428.2,2024-07-09 15:43:59,15,9,7
1429.6,2024-07-09 15:44:01,15,9,7
1429.7,2024-07-09 15:44:03,15,9,7
1430.4,2024-07-09 15:44:05,15,9,7
1430.1,2024-07-09 15:44:07,15,9,7
1430.0,2024-07-09 15:44:09,15,9,7
1428.4,2024-07-09 15:44:11,15,9,7
1427.4,2024-07-09 15:44:13,15,9,7
1427.7,2024-07-09 15:44:15,15,9,7
1428.4,2024-07-09 15:44:17,15,9,7
1429.3,2024-07-09 15:44:19,15,9,7
1430.7,2024-07-09 15:44:22,15,9,7
1430.9,2024-07-09 15:44:24,15,9,7
1431.2,2024-07-09 15:44:26,15,9,7
1431.1,2024-07-09 15:44:28,15,9,7
1428.7,2024-07-09 15:44:30,15,9,7
1430.5,2024-07-09 15:44:32,15,9,7
1432.8,2024-07-09 15:44:34,15,9,7
1436.6,2024-07-09 15:44:36,15,9,7
1439.3,2024-07-09 15:44:38,15,9,7
1431.6,2024-07-09 15:44:40,15,9,7
1436.6,2024-07-09 15:44:42,15,9,7
1438.7,2024-07-09 15:44:44,15,9,7
1438.8,2024-07-09 15:44:46,15,9,7
1439.8,2024-07-09 15:44:49,15,9,7
1435.8,2024-07-09 15:44:51,15,9,7
1433.0,2024-07-09 15:44:53,15,9,7
1435.4,2024-07-09 15:44:55,15,9,7
1433.8,2024-07-09 15:44:57,15,9,7
1434.2,2024-07-09 15:44:59,15,9,7
1435.8,2024-07-09 15:45:01,15,9,7
1436.9,2024-07-09 15:45:03,15,9,7
1440.2,2024-07-09 15:45:05,15,9,7
1440.9,2024-07-09 15:45:07,15,9,7
1443.8,2024-07-09 15:45:09,15,9,7
1441.9,2024-07-09 15:45:11,15,9,7
1443.0,2024-07-09 15:45:13,15,9,7
1441.2,2024-07-09 15:45:15,15,9,7
1440.7,2024-07-09 15:45:18,15,9,7
1441.2,2024-07-09 15:45:20,15,9,7
1442.1,2024-07-09 15:45:22,15,9,7
1442.6,2024-07-09 15:45:24,15,9,7
1443.9,2024-07-09 15:45:26,15,9,7
1443.6,2024-07-09 15:45:28,15,9,7
1445.6,2024-07-09 15:45:30,15,9,7
1447.2,2024-07-09 15:45:32,15,9,7
1448.9,2024-07-09 15:45:34,15,9,7
1449.7,2024-07-09 15:45:36,15,9,7
1450.4,2024-07-09 15:45:38,15,9,7
1451.8,2024-07-09 15:45:40,15,9,7
1452.4,2024-07-09 15:45:42,15,9,7
1454.8,2024-07-09 15:45:44,15,9,7
1455.2,2024-07-09 15:45:47,15,9,7
1455.8,2024-07-09 15:45:49,15,9,7
1457.4,2024-07-09 15:45:51,15,9,7
1457.6,2024-07-09 15:45:53,15,9,7
1458.2,2024-07-09 15:45:55,15,9,7
1458.7,2024-07-09 15:45:57,15,9,7
1459.4,2024-07-09 15:45:59,15,9,7
1459.9,2024-07-09 15:46:01,15,9,7
1460.0,2024-07-09 15:46:03,15,9,7
1459.2,2024-07-09 15:46:05,15,9,7
1458.5,2024-07-09 15:46:07,15,9,7
1458.8,2024-07-09 15:46:09,15,9,7
1458.5,2024-07-09 15:46:11,15,9,7
1456.7,2024-07-09 15:46:13,15,9,7
1455.9,2024-07-09 15:46:16,15,9,7
1455.3,2024-07-09 15:46:18,15,9,7
1453.9,2024-07-09 15:46:20,15,9,7
1453.8,2024-07-09 15:46:22,15,9,7
1453.7,2024-07-09 15:46:24,15,9,7
1453.1,2024-07-09 15:46:26,15,9,7
1452.4,2024-07-09 15:46:28,15,9,7
1452.8,2024-07-09 15:46:30,15,9,7
1452.6,2024-07-09 15:46:32,15,9,7
1452.0,2024-07-09 15:46:34,15,9,7
1453.3,2024-07-09 15:46:36,15,9,7
1453.1,2024-07-09 15:46:38,15,9,7
1452.9,2024-07-09 15:46:40,15,9,7
1453.9,2024-07-09 15:46:42,15,9,7
1454.6,2024-07-09 15:46:45,15,9,7
1454.6,2024-07-09 15:46:47,15,9,7
1455.2,2024-07-09 15:46:49,15,9,7
1455.2,2024-07-09 15:46:51,15,9,7
1455.6,2024-07-09 15:46:53,15,9,7
1455.6,2024-07-09 15:46:55,15,9,7
1456.4,2024-07-09 15:46:57,15,9,7
1457.1,2024-07-09 15:46:59,15,9,7
1457.1,2024-07-09 15:47:01,15,9,7
1458.4,2024-07-09 15:47:03,15,9,7
1458.8,2024-07-09 15:47:05,15,9,7
1457.9,2024-07-09 15:47:07,15,9,7
1458.5,2024-07-09 15:47:09,15,9,7
1457.8,2024-07-09 15:47:11,15,9,7
1457.6,2024-07-09 15:47:14,15,9,7
1459.1,2024-07-09 15:47:16,15,9,7
1460.4,2024-07-09 15:47:18,15,9,7
1462.5,2024-07-09 15:47:20,15,9,7
1461.8,2024-07-09 15:47:22,15,9,7
1461.5,2024-07-09 15:47:24,15,9,7
1460.9,2024-07-09 15:47:26,15,9,7
1461.5,2024-07-09 15:47:28,15,9,7
1463.6,2024-07-09 15:47:30,15,9,7
1465.6,2024-07-09 15:47:32,15,9,7
1468.8,2024-07-09 15:47:34,15,9,7
1468.5,2024-07-09 15:47:36,15,9,7
1468.0,2024-07-09 15:47:38,15,9,7
1468.8,2024-07-09 15:47:41,15,9,7
1468.4,2024-07-09 15:47:43,15,9,7
1469.0,2024-07-09 15:47:45,15,9,7
1469.0,2024-07-09 15:47:47,15,9,7
1468.3,2024-07-09 15:47:49,15,9,7
1469.0,2024-07-09 15:47:51,15,9,7
1468.7,2024-07-09 15:47:53,15,9,7
1468.8,2024-07-09 15:47:55,15,9,7
1468.7,2024-07-09 15:47:57,15,9,7
1466.5,2024-07-09 15:47:59,15,9,7
1466.2,2024-07-09 15:48:01,15,9,7
1466.3,2024-07-09 15:48:03,15,9,7
1466.6,2024-07-09 15:48:05,15,9,7
1466.9,2024-07-09 15:48:07,15,9,7
1466.7,2024-07-09 15:48:10,15,9,7
1464.8,2024-07-09 15:48:12,15,9,7
1464.3,2024-07-09 15:48:14,15,9,7
1464.3,2024-07-09 15:48:16,15,9,7
1463.5,2024-07-09 15:48:18,15,9,7
1463.9,2024-07-09 15:48:20,15,9,7
1463.4,2024-07-09 15:48:22,15,9,7
1462.8,2024-07-09 15:48:24,15,9,7
1462.4,2024-07-09 15:48:26,15,9,7
1462.7,2024-07-09 15:48:28,15,9,7
1462.9,2024-07-09 15:48:30,15,9,7
1462.6,2024-07-09 15:48:32,15,9,7
1462.2,2024-07-09 15:48:34,15,9,7
1461.7,2024-07-09 15:48:37,15,9,7
1461.4,2024-07-09 15:48:39,15,9,7
1461.9,2024-07-09 15:48:41,15,9,7
1461.7,2024-07-09 15:48:43,15,9,7
1462.0,2024-07-09 15:48:45,15,9,7
1462.5,2024-07-09 15:48:47,15,9,7
1462.6,2024-07-09 15:48:49,15,9,7
1462.6,2024-07-09 15:48:51,15,9,7
1462.3,2024-07-09 15:48:53,15,9,7
1462.0,2024-07-09 15:48:55,15,9,7
1462.0,2024-07-09 15:48:57,15,9,7
1463.4,2024-07-09 15:48:59,15,9,7
1464.0,2024-07-09 15:49:01,15,9,7
1464.3,2024-07-09 15:49:03,15,9,7
1465.2,2024-07-09 15:49:06,15,9,7
1465.8,2024-07-09 15:49:08,15,9,7
1465.6,2024-07-09 15:49:10,15,9,7
1466.6,2024-07-09 15:49:12,15,9,7
1467.3,2024-07-09 15:49:14,15,9,7
1467.8,2024-07-09 15:49:16,15,9,7
1468.7,2024-07-09 15:49:18,15,9,7
1470.2,2024-07-09 15:49:20,15,9,7
1471.0,2024-07-09 15:49:22,15,9,7
1470.9,2024-07-09 15:49:24,15,9,7
1471.4,2024-07-09 15:49:26,15,9,7
1471.9,2024-07-09 15:49:28,15,9,7
1472.4,2024-07-09 15:49:30,15,9,7
1473.3,2024-07-09 15:49:32,15,9,7
1472.9,2024-07-09 15:49:35,15,9,7
1475.2,2024-07-09 15:49:37,15,9,7
1475.9,2024-07-09 15:49:39,15,9,7
1476.2,2024-07-09 15:49:41,15,9,7
1476.7,2024-07-09 15:49:43,15,9,7
1477.6,2024-07-09 15:49:45,15,9,7
1477.4,2024-07-09 15:49:47,15,9,7
1477.3,2024-07-09 15:49:49,15,9,7
1476.3,2024-07-09 15:49:51,15,9,7
1476.3,2024-07-09 15:49:53,15,9,7
1475.7,2024-07-09 15:49:55,15,9,7
1474.3,2024-07-09 15:49:57,15,9,7
1474.8,2024-07-09 15:49:59,15,9,7
1473.9,2024-07-09 15:50:02,15,9,7
1474.1,2024-07-09 15:50:04,15,9,7
1474.1,2024-07-09 15:50:06,15,9,7
1475.2,2024-07-09 15:50:08,15,9,7
1474.5,2024-07-09 15:50:10,15,9,7
1472.7,2024-07-09 15:50:12,15,9,7
1471.9,2024-07-09 15:50:14,15,9,7
1471.7,2024-07-09 15:50:16,15,9,7
1470.5,2024-07-09 15:50:18,15,9,7
1471.6,2024-07-09 15:50:20,15,9,7
1472.6,2024-07-09 15:50:22,15,9,7
1471.1,2024-07-09 15:50:24,15,9,7
1470.9,2024-07-09 15:50:26,15,9,7
1470.3,2024-07-09 15:50:28,15,9,7
1471.3,2024-07-09 15:50:31,15,9,7
1472.9,2024-07-09 15:50:33,15,9,7
1474.2,2024-07-09 15:50:35,15,9,7
1475.0,2024-07-09 15:50:37,15,9,7
1474.7,2024-07-09 15:50:39,15,9,7
1474.0,2024-07-09 15:50:41,15,9,7
1473.8,2024-07-09 15:50:43,15,9,7
1474.2,2024-07-09 15:50:45,15,9,7
1474.8,2024-07-09 15:50:47,15,9,7
1473.8,2024-07-09 15:50:49,15,9,7
1473.3,2024-07-09 15:50:51,15,9,7
1475.1,2024-07-09 15:50:53,15,9,7
1474.0,2024-07-09 15:50:55,15,9,7
1472.2,2024-07-09 15:50:57,15,9,7
1473.4,2024-07-09 15:51:00,15,9,7
1474.2,2024-07-09 15:51:02,15,9,7
1473.9,2024-07-09 15:51:04,15,9,7
1472.7,2024-07-09 15:51:06,15,9,7
1472.7,2024-07-09 15:51:08,15,9,7
1471.7,2024-07-09 15:51:10,15,9,7
1471.8,2024-07-09 15:51:12,15,9,7
1471.5,2024-07-09 15:51:14,15,9,7
1470.5,2024-07-09 15:51:16,15,9,7
1469.4,2024-07-09 15:51:18,15,9,7
1469.2,2024-07-09 15:51:20,15,9,7
1469.9,2024-07-09 15:51:22,15,9,7
1469.7,2024-07-09 15:51:24,15,9,7
1469.2,2024-07-09 15:51:27,15,9,7
1469.8,2024-07-09 15:51:29,15,9,7
1469.7,2024-07-09 15:51:31,15,9,7
1471.0,2024-07-09 15:51:33,15,9,7
1470.8,2024-07-09 15:51:35,15,9,7
1471.1,2024-07-09 15:51:37,15,9,7
1470.6,2024-07-09 15:51:39,15,9,7
1469.7,2024-07-09 15:51:41,15,9,7
1469.1,2024-07-09 15:51:43,15,9,7
1468.9,2024-07-09 15:51:45,15,9,7
1468.7,2024-07-09 15:51:47,15,9,7
1468.9,2024-07-09 15:51:49,15,9,7
1468.4,2024-07-09 15:51:51,15,9,7
1467.7,2024-07-09 15:51:54,15,9,7
1467.7,2024-07-09 15:51:56,15,9,7
1467.3,2024-07-09 15:51:58,15,9,7
1467.0,2024-07-09 15:52:00,15,9,7
1466.8,2024-07-09 15:52:02,15,9,7
1467.2,2024-07-09 15:52:04,15,9,7
1466.3,2024-07-09 15:52:06,15,9,7
1466.2,2024-07-09 15:52:08,15,9,7
1466.7,2024-07-09 15:52:10,15,9,7
1466.6,2024-07-09 15:52:12,15,9,7
1466.3,2024-07-09 15:52:14,15,9,7
1465.8,2024-07-09 15:52:16,15,9,7
1465.8,2024-07-09 15:52:18,15,9,7
1465.9,2024-07-09 15:52:20,15,9,7
1466.2,2024-07-09 15:52:23,15,9,7
1464.8,2024-07-09 15:52:25,15,9,7
1465.1,2024-07-09 15:52:27,15,9,7
1465.7,2024-07-09 15:52:29,15,9,7
1465.5,2024-07-09 15:52:31,15,9,7
1465.6,2024-07-09 15:52:33,15,9,7
1465.2,2024-07-09 15:52:35,15,9,7
1465.3,2024-07-09 15:52:37,15,9,7
1465.3,2024-07-09 15:52:39,15,9,7
1465.6,2024-07-09 15:52:41,15,9,7
1465.5,2024-07-09 15:52:43,15,9,7
1465.3,2024-07-09 15:52:45,15,9,7
1466.1,2024-07-09 15:52:47,15,9,7
1465.8,2024-07-09 15:52:50,15,9,7
1465.9,2024-07-09 15:52:52,15,9,7
1465.8,2024-07-09 15:52:54,15,9,7
1465.9,2024-07-09 15:52:56,15,9,7
1465.8,2024-07-09 15:52:58,15,9,7
1465.7,2024-07-09 15:53:00,15,9,7
1464.8,2024-07-09 15:53:02,15,9,7
1465.2,2024-07-09 15:53:04,15,9,7
1466.0,2024-07-09 15:53:06,15,9,7
1465.8,2024-07-09 15:53:08,15,9,7
1466.1,2024-07-09 15:53:10,15,9,7
1465.7,2024-07-09 15:53:12,15,9,7
1465.4,2024-07-09 15:53:14,15,9,7
1465.2,2024-07-09 15:53:16,15,9,7
1464.6,2024-07-09 15:53:19,15,9,7
1465.1,2024-07-09 15:53:21,15,9,7
1464.5,2024-07-09 15:53:23,15,9,7
1464.7,2024-07-09 15:53:25,15,9,7
1464.3,2024-07-09 15:53:27,15,9,7
1464.4,2024-07-09 15:53:29,15,9,7
1465.1,2024-07-09 15:53:31,15,9,7
1465.4,2024-07-09 15:53:33,15,9,7
1465.6,2024-07-09 15:53:35,15,9,7
1465.8,2024-07-09 15:53:37,15,9,7
1466.3,2024-07-09 15:53:39,15,9,7
1466.8,2024-07-09 15:53:41,15,9,7
1467.8,2024-07-09 15:53:43,15,9,7
1469.1,2024-07-09 15:53:45,15,9,7
1471.1,2024-07-09 15:53:48,15,9,7
1475.1,2024-07-09 15:53:50,15,9,7
1480.6,2024-07-09 15:53:52,15,9,7
1485.9,2024-07-09 15:53:54,15,9,7
1493.9,2024-07-09 15:53:56,15,9,7
1495.2,2024-07-09 15:53:58,15,9,7
1499.8,2024-07-09 15:54:00,15,9,7
1502.8,2024-07-09 15:54:02,15,9,7
